Question Ref.,Ouestion Link,Asked by,Parliament Question,Date Lodged,Date Answered,Answered By,Answered Content,Web No.,Total Number of Pages
Question ref. S6W-00277,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00277,"Asked by: McNeill, Pauline, Gl",To ask the Scottish Government what its position is on potentially losing NHS dentists to the private sector.,2021-05-27,2021-06-07,Answered by Maree ,"There has been an unprecedented increase in the number of General Dental Practitioners (GDPs) under this Government. As at March 2021 the number of GDPs in Scotland was 3,039 compared to 2,186 in 2007, an increase of 39%. This means that there are 55.7 dentists per 100,000 of the population providing NHS care and treatment in 2021, compared to 42.3 in 2007.",440,461
Question ref. S6W-00269,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00269,"Asked by: Mundell, Oliver, Dumfries","To ask the Scottish Government what advice it provides to local authorities regarding the number of meat-based options there should be on school-meal menus; what discussions it has with Dumfries and Galloway Council regarding that local authority's decision to have fewer such options for its schools; whether it is aware of reports that parents in Dumfries and Galloway have expressed concerns regarding this policy, and whether any parents have contacted it about the matter.",2021-06-03,2021-06-07,Answered by Shirley-Anne Somerv,"The Scottish Government expects all local authorities to comply with the school food and drink Regulations which are based on up to date scientific evidence and dietary advice about what energy and nutrients children and young people need in order to grow and develop healthily. The Regulations provide detailed specifications that must be met as food and drink is offered in schools and the accompanying guidance ‘Healthy Eating in Schools’ provides practical advice about how to meet the Regulations. The Regulations and guidance include specifications for and advice on meat provision in schools.As long as the Regulations are being met, it is for local authorities to decide what meals to include on menus and as such the Scottish Government do not routinely monitor school menus. We have not been contacted by parents from Dumfries and Galloway about this matter. If parents do raise concerns about school menus we advise them to provide feedback to their local authority who can take this into account as they develop future menus.",440,461
Question ref. S6W-00006,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00006,"Asked by: Carlaw, Jackson, Eas","To ask the Scottish Government what consideration it has given to providing COVID-19 vaccinators with the same rate of remuneration, irrespective of professional background.",2021-05-13,2021-06-07,Answered by Humza Yo,"Our desire to protect as much of Scotland’s population as quickly as possible has necessitated the deployment of all available resources, and the rate of progress we have seen would not have been possible without the mobilisation at pace of a large, capable and diverse workforce. We have worked to ensure nobody is placed at detriment as a result of their participation in the programme as a vaccinator.It is our expectation that reliance on the temporary measures currently in place will reduce as Health Boards continue with efforts to recruit a sustainable vaccinator workforce.",440,461
Question ref. S6W-00292,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00292,"Asked by: Golden, Maurice, North East Sco",To ask the Scottish Government whether support for the development and deployment of carbon capture and storage will continue regardless of any formal support arrangement that ministers agree with the Scottish Green Party.,2021-05-27,2021-06-07,Answered by Michael Math,"The Scottish Government supports the development of carbon capture, utilisation, and storage (CCUS) as a common whole-system decarbonisation infrastructure with the flexibility to adapt over time to play a central role across the decarbonisation strategies of key sectors such as heat, industry and power. A proven technology, there are more than 50 CCUS facilities worldwide, with an estimated combined capture capacity of 96 million tonnes of CO2 per annum.The Committee on Climate Change describes CCUS as a “necessity, not an option” to achieve net-zero emissions; indeed, the swift development of CCUS as a cornerstone of our energy transition is vital to achieving Scotland’s net zero emissions reduction targets.Scotland is the most cost-effective place to begin CCUS in the UK, with existing oil and gas infrastructure available to repurpose for CO2 transport and storage. The development of CCUS could offer a range of transition opportunities for Scottish oil and gas firms and domestic supply chain companies.We are already supporting efforts to deploy CCUS in Scotland, including through our Emerging Energy Technologies Fund, which will provide £80m over the next five years to support the development of CCUS and negative-emissions technologies. We have also provided funding and policy support to the Acorn CCS project in Aberdeenshire, considered the most advanced CCS project in the UK.",440,461
Question ref. S6W-00253,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00253,"Asked by: Gibson, Kenneth, Cunninghame ","To ask the Scottish Government whether it will define milestone events, such as golden and diamond wedding anniversary celebrations, as ""life events"" in order to allow for their safe resumption.",2021-05-26,2021-06-07,Answered by John Swi,"Weddings, civil partnerships and funerals are recognised as life events within Scottish Government guidance. Weddings, civil partnerships and funerals are of particular importance to people and society and are protected under the European Convention on Human Rights.Wedding receptions and funeral wakes mark the social and personal importance of these protected life events. Additionally, there are very practical reasons why funerals cannot be postponed for any length of time. Therefore, these events have been given particular exemptions within the Levels Table compared to the general guidance on other life events.There are no specific exemptions at this time for birthday parties amongst adults, or gatherings to mark a wedding anniversary or other life event, which remain subject to the general restrictions on people gathering.Therefore, other events such as birthday parties for adults, wedding anniversary celebrations and celebrations after a religious life event should only take place in line with the general rules for meeting others indoors and outdoors.The full guidance on protection levels and what individuals can and cannot do at each level can be viewed here:  Coronavirus (COVID-19) protection levels: what you can do - gov.scot (www.gov.scot) ",440,461
Question ref. S6W-00212,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00212,"Asked by: Mundell, Oliver, Dumfries","To ask the Scottish Government what options are available to householders who have been turned down for loans from Home Energy Scotland due to alleged issues with credit scores, and what impact this will have on wider policy objectives. ",2021-05-25,2021-06-07,Answered by Michael Math,"When householders contact Home Energy Scotland, they are advised on the range of support schemes available, including whether they may be eligible for grant funded schemes such as Warmer Homes Scotland and the Energy Efficient Scotland: Area Based Schemes, before being directed to the HES loan scheme.Even if funding is not available through these schemes, Home Energy Scotland will offer free and impartial energy efficiency advice on how to keep the home warmer and more affordable to heat. Tariff advice is also offered to ensure that households are on the most cost effective tariff for their circumstances and all callers are offered a benefit check. This is to ensure that, no matter what their income, they are receiving all the support they are entitled to.Earlier this year, we published our draft Heat in Buildings Strategy setting out our ambition to transition 1 million homes to zero emissions heating by 2030 and to ensure all buildings achieve a good level of energy efficiency by 2035. Responses to the public consultation are now being analysed.",440,461
Question ref. S6W-00278,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00278,"Asked by: Kerr, Stephen, Central Sco",To ask the Scottish Government what guidance is issued to Ministers on the use of social media in relation to government announcements made on personal social media accounts that block some people from seeing them.,2021-05-27,2021-06-07,Answered by Kate Fo,"The Scottish Ministerial Code outlines a code of conduct for members of the Scottish Government (the First Minister, Cabinet Secretaries and Law Officers) and junior Scottish Ministers, including on the use of personal social media accounts. No other Scottish Government guidance has been issued to Ministers in this regard.Further informationThe Scottish Ministerial Code outlines a code of conduct for members of the Scottish Government (the First Minister, Cabinet Secretaries and Law Officers) and junior Scottish Ministers.Section 10 concerns Ministers And The Presentation Of Policy. There is reference here to the use of social media, which states:10.10 Ministers may retain personal social media accounts (e.g. Facebook, Twitter), provided that any activity on their account is not at variance with their obligations to Parliament or their duty to observe the principle of collective Ministerial responsibility. It is Ministers’ personal responsibility to ensure that social media activity in their name does not breach these requirements or bring the Government into disrepute.10.11 If Ministers wish to use social media for official policy communications, they should use an appropriate Government account.The Scottish Ministerial Code can be found online at  https://www.gov.scot/publications/scottish-ministerial-code-2018-edition ",440,461
Question ref. S6W-00258,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00258,"Asked by: Balfour, Jeremy, Lo",To ask the Scottish Government what provision it is making to ensure that small independent brewers will be able to introduce a stepped approach to a deposit return scheme with a timescale aligned with other UK nations of 2024.,2021-05-26,2021-06-07,Answered by Michael Math,"We recognise the unique and significant pressures that COVID-19 has placed on businesses over the past year, including the independent brewing sector. That is why we have commissioned an independent Gateway Review to assess the impact of the pandemic on the go-live date for Scotland’s Deposit Return Scheme (DRS).We have no current plans to adopt a ‘stepped’ approach in which certain producers would initially be exempt from obligations under DRS. This would be likely to cause significant consumer confusion and jeopardise the behavioural change that DRS requires.",440,461
Question ref. S6W-00376,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00376,"Asked by: Boyack, Sarah, Lo",To ask the Scottish Government what analysis it has carried out of the scale of delays in waiting times for NHS dental check-ups.,2021-06-02,2021-06-07,Answered by Maree ,"The Scottish Government does not analyse statistics on waiting times for NHS dental examinations within General Dental Services (GDS) as this service is delivered across around 1100 dental practices, each with local differences in patterns of prescribing and service delivery.Infection control requirements have meant that practices are still working at considerably reduced capacity, necessitating the triage of patients according to clinical need to some extent, including the availability to dental check-ups for individuals with historically poor oral health.",440,461
Question ref. S6W-00160,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00160,"Asked by: Lennon, Monica, Central Sco","To ask the Scottish Government, in light of the impact of the COVID-19 pandemic, what action it is taking to support businesses that rely on tourism. ",2021-05-21,2021-06-07,Answered by Ivan M,"We are doing everything we can with the limited powers available to us to support the tourism sector.We have extended 100% NDR relief, which is more generous than the equivalent rates reliefs available in other UK nations, for all retail, leisure and hospitality premises for all of 2021-22. In addition, Tourism businesses on Non Domestic Rates have been supported by the Strategic Framework Business Fund. We also launched a £129 million package of business support measures over December and January as part of our short term response to the Scottish Tourism Recovery Taskforce recommendations and followed engagement with industry to target support where it was needed the most. We also invested £14 million in the Hotel Support Programme to secure up to 3,000 jobs in the hotel sector, and through the Pivotal Enterprise Resilience Fund we awarded over £8.9 million to hotels and other accommodation last year – there was no equivalent fund in England.Over the past year we have worked closely with sectoral organisations like the Scottish Tourism Alliance on support for the tourism and hospitality sectors and we will continue to do so. This includes £25 million, which we announced in March, to implement the Phase 1 recommendations of the Scottish Tourism Recovery Taskforce. This fund will support domestic and international marketing to rebuild visitor demand, leadership and skills training, development of a net zero pathway for tourism, and social tourism and days out vouchers.Development of phase 2 recommendations (years 2 through 5) is underway by the Scottish Tourism Emergency Response Group and proposals will be considered by the Scottish Government very shortly. ",440,461
